Periodo Letivo,Variável,Média
2024.2,Adequação da UFPB,"7,84"
2024.2,Comprometimento de docentes,"7,53"
2024.2,Esforço de assiduidade,"8,31"
2024.2,Experiência do semestre,"7,20"
2024.2,Preocupação da UFPB,"6,42"
2024.2,Relacionamento com colegas,"7,85"
2024.2,Satisfação com a UFPB,"8,11"
2025.1,Adequação da UFPB,"7,90"
2025.1,Comprometimento de docentes,"7,63"
2025.1,Esforço de assiduidade,"8,26"
2025.1,Experiência do semestre,"7,32"
2025.1,Preocupação da UFPB,"6,54"
2025.1,Relacionamento com colegas,"7,90"
2025.1,Satisfação com a UFPB,"8,17"
